Simulation from altruism.c performed at Wed Oct 12 16:54:22 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.500000
(1 - alpha)*kappa = 0.050000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 389765 384932 4833 0.035157 0.035135 0.036919 0.987423 0.987595 0.973748 0.029785 0.030159 0.000000 2.262666 2.262576 2.269771 0.034691 0.034675 0.035920 -0.000024 0.034699
125000 10000.000000 387479 380940 6539 0.032233 0.032239 0.031840 0.983111 0.983341 0.969745 0.027282 0.027750 0.000000 2.105564 2.106069 2.076148 0.031694 0.031708 0.030883 0.000006 0.031695
187500 15000.000000 394970 388197 6773 0.065592 0.065583 0.066121 0.982818 0.982998 0.972507 0.050843 0.051731 0.000000 2.801233 2.801703 2.774293 0.064458 0.064460 0.064369 -0.000007 0.064459
250000 20000.000000 395102 387178 7924 0.066093 0.066077 0.066875 0.980005 0.980265 0.967321 0.051137 0.052184 0.000000 2.829304 2.829257 2.831635 0.064758 0.064759 0.064712 -0.000013 0.064752
312500 25000.000000 395163 385601 9562 0.066543 0.066599 0.064298 0.975656 0.976078 0.958632 0.051208 0.052478 0.000000 2.824961 2.825796 2.791305 0.064982 0.065063 0.061703 0.000058 0.064987
375000 30000.000000 395298 385264 10034 0.073015 0.072986 0.074131 0.974360 0.974789 0.957886 0.055155 0.056592 0.000000 2.887202 2.887889 2.860813 0.071115 0.071119 0.070968 -0.000027 0.071133
437500 35000.000000 396659 384092 12567 0.084075 0.083885 0.089885 0.968188 0.968728 0.951657 0.061788 0.063809 0.000000 3.026148 3.024473 3.077322 0.081225 0.081085 0.085513 -0.000175 0.081227
500000 40000.000000 396783 383853 12930 0.090606 0.090634 0.089770 0.967182 0.967737 0.950711 0.066022 0.068246 0.000000 3.102748 3.103694 3.074657 0.087657 0.087733 0.085426 0.000025 0.087680
562500 45000.000000 396348 382723 13625 0.087973 0.087985 0.087633 0.965916 0.966525 0.948821 0.064276 0.066564 0.000000 3.083922 3.084500 3.067688 0.084981 0.085046 0.083143 0.000006 0.084960
625000 50000.000000 396889 383432 13457 0.083542 0.083581 0.082429 0.965949 0.966761 0.942823 0.061551 0.063711 0.000000 3.043887 3.044968 3.013089 0.080726 0.080832 0.077694 0.000029 0.080747
687500 55000.000000 397614 383187 14427 0.102327 0.101934 0.112771 0.963878 0.964717 0.941590 0.072167 0.074884 0.000000 3.172801 3.170015 3.246786 0.098265 0.097961 0.106329 -0.000366 0.098236
750000 60000.000000 397751 381016 16735 0.106446 0.106051 0.115433 0.957904 0.958715 0.939449 0.074210 0.077469 0.000000 3.197305 3.194843 3.253338 0.101586 0.101285 0.108443 -0.000379 0.101589
812500 65000.000000 397663 378141 19522 0.112031 0.111681 0.118808 0.951307 0.952184 0.934314 0.077033 0.081010 0.000000 3.250797 3.248552 3.294299 0.106255 0.106017 0.110871 -0.000321 0.106199
875000 70000.000000 397839 374588 23251 0.117795 0.117084 0.129240 0.941149 0.942450 0.920192 0.079339 0.084264 0.000000 3.288167 3.284958 3.339872 0.110184 0.109683 0.118249 -0.000679 0.110241
937500 75000.000000 397727 371986 25741 0.116158 0.115206 0.129905 0.935218 0.936778 0.912678 0.077863 0.083251 0.000000 3.269957 3.264158 3.353768 0.107736 0.107040 0.117794 -0.000897 0.107750
1000000 80000.000000 397744 370922 26822 0.108914 0.108179 0.119075 0.931928 0.933500 0.910183 0.073664 0.078990 0.000000 3.221543 3.217139 3.282448 0.100823 0.100313 0.107876 -0.000677 0.100884
1062500 85000.000000 397490 368333 29157 0.101400 0.100788 0.109136 0.926859 0.928538 0.905650 0.069034 0.074499 0.000000 3.153931 3.149366 3.211595 0.093414 0.093008 0.098536 -0.000570 0.093395
1125000 90000.000000 397264 365795 31469 0.095300 0.094824 0.100836 0.921185 0.923097 0.898961 0.065183 0.070790 0.000000 3.107694 3.105383 3.134565 0.087357 0.087108 0.090245 -0.000432 0.087312
1187500 95000.000000 396961 365090 31871 0.089545 0.089220 0.093269 0.920756 0.923068 0.894276 0.061840 0.067239 0.000000 3.043792 3.041453 3.070588 0.082146 0.082065 0.083066 -0.000304 0.082057
1250000 100000.000000 396615 366129 30486 0.083308 0.083197 0.084635 0.922692 0.925358 0.890671 0.058457 0.063324 0.000000 2.971106 2.972170 2.958333 0.076790 0.076927 0.075148 -0.000077 0.076802
1312500 105000.000000 396709 366218 30491 0.083042 0.082862 0.085201 0.922869 0.925514 0.891097 0.058311 0.063166 0.000000 2.978383 2.979021 2.970713 0.076459 0.076524 0.075678 -0.000178 0.076493
1375000 110000.000000 395518 364549 30969 0.072399 0.072207 0.074659 0.921491 0.924155 0.890130 0.051588 0.055971 0.000000 2.844471 2.844560 2.843419 0.066547 0.066560 0.066393 -0.000168 0.066553
1437500 115000.000000 397073 365375 31698 0.090437 0.090632 0.088181 0.920920 0.923309 0.893381 0.062639 0.068074 0.000000 3.048932 3.052405 3.008902 0.083478 0.083858 0.079099 0.000193 0.083397
1500000 120000.000000 397062 367736 29326 0.093477 0.093773 0.089758 0.925972 0.928156 0.898591 0.065057 0.070246 0.000000 3.103292 3.107807 3.046668 0.086843 0.087312 0.080973 0.000287 0.086847
1562500 125000.000000 396683 369069 27614 0.091096 0.091391 0.087149 0.930316 0.932298 0.903826 0.063588 0.068345 0.000000 3.055628 3.060729 2.987450 0.085014 0.085447 0.079222 0.000266 0.085029
1625000 130000.000000 398241 371587 26654 0.105303 0.105343 0.104740 0.932984 0.934456 0.912459 0.072030 0.077197 0.000000 3.196763 3.198856 3.167594 0.098306 0.098472 0.095983 0.000060 0.098293
1687500 135000.000000 397357 371627 25730 0.100888 0.100699 0.103611 0.934944 0.936415 0.913700 0.069471 0.074281 0.000000 3.153697 3.154177 3.146766 0.094112 0.094060 0.094868 -0.000212 0.094178
1750000 140000.000000 397552 370867 26685 0.105392 0.105177 0.108384 0.933392 0.934821 0.913541 0.071627 0.076781 0.000000 3.162437 3.162799 3.157405 0.098169 0.098099 0.099137 -0.000204 0.098117
1812500 145000.000000 398846 374055 24791 0.114366 0.113954 0.120586 0.937913 0.939231 0.918028 0.077279 0.082401 0.000000 3.256385 3.253049 3.306714 0.106885 0.106641 0.110554 -0.000381 0.106871
1875000 150000.000000 397928 369218 28710 0.111233 0.110796 0.116845 0.927641 0.929508 0.903629 0.074845 0.080665 0.000000 3.254559 3.252485 3.281242 0.102772 0.102589 0.105120 -0.000412 0.102802
1937500 155000.000000 397683 369811 27872 0.105901 0.105805 0.107168 0.929777 0.932033 0.899850 0.071988 0.077414 0.000000 3.177917 3.176779 3.193013 0.098359 0.098522 0.096198 -0.000105 0.098390
2000000 160000.000000 397602 368737 28865 0.100073 0.100049 0.100382 0.926287 0.928884 0.893105 0.068559 0.073926 0.000000 3.152086 3.154023 3.127354 0.092666 0.092904 0.089631 -0.000030 0.092786
2062500 165000.000000 396968 365873 31095 0.090353 0.090206 0.092078 0.921415 0.924298 0.887494 0.062570 0.067887 0.000000 3.049460 3.050586 3.036206 0.083129 0.083264 0.081545 -0.000123 0.083140
2125000 170000.000000 395983 363988 31995 0.081322 0.081355 0.080945 0.918838 0.921946 0.883474 0.056958 0.061964 0.000000 2.927100 2.931169 2.880817 0.074757 0.075043 0.071504 0.000036 0.074782
2187500 175000.000000 396541 365525 31016 0.080749 0.080603 0.082466 0.921707 0.924843 0.884747 0.056920 0.061749 0.000000 2.961378 2.963848 2.932274 0.074293 0.074420 0.072792 -0.000134 0.074299
2250000 180000.000000 395490 367031 28459 0.076406 0.076381 0.076737 0.927676 0.930757 0.887936 0.054753 0.058999 0.000000 2.901352 2.904580 2.859725 0.070849 0.071078 0.067890 -0.000032 0.070885
2312500 185000.000000 395344 368295 27049 0.074971 0.074649 0.079356 0.932160 0.935542 0.886107 0.053727 0.057672 0.000000 2.872946 2.871679 2.890190 0.069593 0.069563 0.070007 -0.000292 0.069541
2375000 190000.000000 396069 370220 25849 0.080087 0.079644 0.086434 0.934834 0.937934 0.890444 0.057094 0.061080 0.000000 2.959565 2.958572 2.973787 0.074447 0.074301 0.076533 -0.000421 0.074446
2437500 195000.000000 395196 365480 29716 0.074307 0.073734 0.081350 0.924151 0.928139 0.875093 0.052768 0.057059 0.000000 2.871295 2.869472 2.893710 0.068124 0.067932 0.070479 -0.000547 0.068190
2500000 200000.000000 395486 367174 28312 0.076098 0.075690 0.081390 0.928374 0.932611 0.873424 0.054080 0.058250 0.000000 2.861695 2.859702 2.887545 0.070289 0.070293 0.070233 -0.000358 0.070271
2562500 205000.000000 396927 370516 26411 0.098783 0.099405 0.090063 0.933800 0.938460 0.868425 0.068744 0.073644 0.000000 3.110786 3.121455 2.961110 0.092813 0.093829 0.078553 0.000569 0.092791
2625000 210000.000000 396910 376508 20402 0.098558 0.099141 0.087800 0.948249 0.951539 0.887543 0.069889 0.073676 0.000000 3.170509 3.180032 2.994772 0.094001 0.094825 0.078803 0.000544 0.094045
2687500 215000.000000 397437 380288 17149 0.094492 0.094809 0.087467 0.957010 0.959377 0.904509 0.067851 0.070911 0.000000 3.164035 3.169948 3.032895 0.090734 0.091235 0.079640 0.000305 0.090718
2750000 220000.000000 395602 379781 15821 0.079103 0.079149 0.077991 0.959532 0.961658 0.908484 0.058382 0.060814 0.000000 2.969504 2.972247 2.903645 0.075960 0.076161 0.071146 0.000058 0.075984
2812500 225000.000000 396297 382127 14170 0.083785 0.083941 0.079579 0.964381 0.965575 0.932184 0.061418 0.063696 0.000000 2.980675 2.983259 2.910999 0.080955 0.081177 0.074950 0.000154 0.080940
2875000 230000.000000 397362 383433 13929 0.093782 0.093792 0.093510 0.964972 0.965743 0.943745 0.067633 0.070090 0.000000 3.120107 3.121593 3.079204 0.090505 0.090576 0.088553 0.000008 0.090504
2937500 235000.000000 398152 383677 14475 0.102040 0.101982 0.103580 0.963577 0.964509 0.938883 0.072583 0.075321 0.000000 3.200039 3.200325 3.192472 0.098265 0.098301 0.097315 -0.000058 0.098274
3000000 240000.000000 396972 380362 16610 0.094795 0.094738 0.096101 0.958215 0.959339 0.932490 0.067518 0.070466 0.000000 3.104413 3.104129 3.110918 0.090769 0.090814 0.089742 -0.000065 0.090774
3062500 245000.000000 396599 380824 15775 0.095198 0.095271 0.093441 0.960795 0.962049 0.930539 0.067867 0.070678 0.000000 3.080478 3.082227 3.038261 0.091526 0.091707 0.087134 0.000060 0.091481
3125000 250000.000000 397383 381632 15751 0.094840 0.094865 0.094253 0.960416 0.961642 0.930705 0.067815 0.070614 0.000000 3.119458 3.121416 3.072029 0.091133 0.091260 0.088062 0.000047 0.091104
3187500 255000.000000 397485 381413 16072 0.101490 0.101420 0.103134 0.959492 0.960715 0.930473 0.071688 0.074709 0.000000 3.162102 3.162674 3.148541 0.097294 0.097330 0.096431 -0.000085 0.097320
3250000 260000.000000 397972 381128 16844 0.100121 0.099924 0.104568 0.958014 0.959115 0.933111 0.070669 0.073793 0.000000 3.149492 3.148478 3.172416 0.095736 0.095644 0.097811 -0.000182 0.095695
3312500 265000.000000 398291 379840 18451 0.104107 0.103702 0.112445 0.953092 0.954194 0.930424 0.072826 0.076363 0.000000 3.209420 3.206828 3.262782 0.098818 0.098543 0.104499 -0.000405 0.098898
3375000 270000.000000 397007 376565 20442 0.092266 0.091897 0.099076 0.948151 0.949417 0.924822 0.065351 0.068899 0.000000 3.070621 3.068017 3.118592 0.087142 0.086905 0.091501 -0.000341 0.087165
3437500 275000.000000 397409 375200 22209 0.087369 0.086977 0.094006 0.944439 0.945835 0.920855 0.061944 0.065610 0.000000 3.016171 3.013279 3.065016 0.082155 0.081911 0.086281 -0.000360 0.082116
3500000 280000.000000 396391 373039 23352 0.085738 0.085367 0.091673 0.941072 0.942483 0.918521 0.060904 0.064716 0.000000 3.008199 3.006108 3.041611 0.080345 0.080117 0.083983 -0.000341 0.080338
3562500 285000.000000 396336 371153 25183 0.082505 0.082283 0.085775 0.935807 0.937358 0.912950 0.058818 0.062808 0.000000 2.989719 2.987652 3.020180 0.077006 0.076925 0.078191 -0.000203 0.077055
3625000 290000.000000 395801 370195 25606 0.077064 0.077132 0.076085 0.935125 0.937072 0.906966 0.055467 0.059303 0.000000 2.890600 2.892239 2.866909 0.072135 0.072346 0.069073 0.000070 0.072142
3687500 295000.000000 395823 371609 24214 0.077167 0.077402 0.073572 0.938364 0.940436 0.906552 0.055928 0.059572 0.000000 2.929367 2.934839 2.845381 0.072650 0.073026 0.066885 0.000239 0.072667
3750000 300000.000000 396244 372951 23293 0.079535 0.079672 0.077352 0.941626 0.943758 0.907496 0.057497 0.061088 0.000000 2.949496 2.954075 2.876188 0.075027 0.075324 0.070262 0.000134 0.074988
3812500 305000.000000 395717 373220 22497 0.075822 0.075954 0.073631 0.943357 0.945739 0.903849 0.055241 0.058571 0.000000 2.918784 2.922152 2.862906 0.071646 0.071944 0.066714 0.000119 0.071636
3875000 310000.000000 396466 377844 18622 0.079021 0.079233 0.074722 0.952745 0.954392 0.919332 0.057867 0.060719 0.000000 2.979353 2.983785 2.889429 0.075482 0.075801 0.069014 0.000195 0.075511
3937500 315000.000000 396206 379327 16879 0.077317 0.077445 0.074436 0.957399 0.958812 0.925639 0.057077 0.059616 0.000000 2.945517 2.949301 2.860470 0.074143 0.074365 0.069147 0.000120 0.074146
4000000 320000.000000 396027 379980 16047 0.082121 0.082343 0.076856 0.959282 0.960638 0.927181 0.060283 0.062829 0.000000 2.986701 2.990475 2.897338 0.078972 0.079284 0.071563 0.000194 0.079007
4062500 325000.000000 397186 384251 12935 0.090616 0.090806 0.084949 0.967202 0.968207 0.937355 0.066133 0.068360 0.000000 3.112904 3.115748 3.028408 0.087818 0.088087 0.079828 0.000175 0.087849
