Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 -0.004879 -0.007683 0.032815 0.002347 0.032570 0.002127
125000 10000.000000 -0.005455 -0.011443 0.029180 0.003058 0.028996 0.002703
187500 15000.000000 -0.002792 -0.014388 0.062186 0.003429 0.061567 0.002913
250000 20000.000000 -0.002665 -0.017334 0.062355 0.003740 0.061735 0.003026
312500 25000.000000 -0.004511 -0.019821 0.062528 0.003975 0.061867 0.003076
375000 30000.000000 -0.003282 -0.022335 0.068754 0.004283 0.067953 0.003186
437500 35000.000000 -0.007258 -0.024572 0.079571 0.004503 0.078002 0.003220
500000 40000.000000 -0.006516 -0.026331 0.085897 0.004708 0.084392 0.003263
562500 45000.000000 -0.006202 -0.027925 0.083086 0.004893 0.081693 0.003289
625000 50000.000000 -0.004075 -0.029961 0.078385 0.005150 0.077379 0.003341
687500 55000.000000 -0.003943 -0.032199 0.096969 0.005393 0.094912 0.003383
750000 60000.000000 -0.008211 -0.033899 0.100797 0.005603 0.098094 0.003448
812500 65000.000000 -0.013628 -0.035072 0.106312 0.005716 0.102805 0.003446
875000 70000.000000 -0.023054 -0.035806 0.112062 0.005803 0.106814 0.003435
937500 75000.000000 -0.028504 -0.036309 0.110299 0.005880 0.104320 0.003433
1000000 80000.000000 -0.031067 -0.037020 0.102906 0.005974 0.097355 0.003433
1062500 85000.000000 -0.035459 -0.037629 0.095289 0.006086 0.089928 0.003469
1125000 90000.000000 -0.040848 -0.038019 0.089170 0.006165 0.083892 0.003491
1187500 95000.000000 -0.040927 -0.038302 0.083287 0.006273 0.078619 0.003541
1250000 100000.000000 -0.038599 -0.038740 0.076928 0.006372 0.073207 0.003574
1312500 105000.000000 -0.037756 -0.039435 0.076525 0.006533 0.072815 0.003653
1375000 110000.000000 -0.038574 -0.039891 0.065740 0.006664 0.062830 0.003725
1437500 115000.000000 -0.038627 -0.040456 0.083551 0.006943 0.079615 0.003918
1500000 120000.000000 -0.032918 -0.041108 0.086376 0.007071 0.082863 0.003950
1562500 125000.000000 -0.027887 -0.041820 0.083903 0.007196 0.081046 0.003972
1625000 130000.000000 -0.024602 -0.042427 0.097930 0.007370 0.094247 0.004056
1687500 135000.000000 -0.022164 -0.042869 0.093306 0.007524 0.089926 0.004138
1750000 140000.000000 -0.023154 -0.043460 0.097788 0.007605 0.094017 0.004150
1812500 145000.000000 -0.018116 -0.043974 0.106794 0.007622 0.102829 0.004102
1875000 150000.000000 -0.027945 -0.044384 0.103535 0.007699 0.098663 0.004115
1937500 155000.000000 -0.025570 -0.044687 0.098219 0.007786 0.094312 0.004141
2000000 160000.000000 -0.028451 -0.045280 0.092090 0.007940 0.088420 0.004206
2062500 165000.000000 -0.032763 -0.045828 0.082294 0.008072 0.078886 0.004254
2125000 170000.000000 -0.034639 -0.046491 0.073120 0.008229 0.070462 0.004323
2187500 175000.000000 -0.030944 -0.047343 0.072312 0.008405 0.069869 0.004397
2250000 180000.000000 -0.024130 -0.048205 0.067797 0.008604 0.066342 0.004500
2312500 185000.000000 -0.018560 -0.049301 0.066166 0.008788 0.065001 0.004576
2375000 190000.000000 -0.014859 -0.050376 0.071137 0.008981 0.069795 0.004674
2437500 195000.000000 -0.024431 -0.051413 0.065061 0.009234 0.063291 0.004822
2500000 200000.000000 -0.019145 -0.052453 0.066592 0.009459 0.065300 0.004948
2562500 205000.000000 -0.012247 -0.053912 0.089100 0.009701 0.087815 0.005019
2625000 210000.000000 0.003817 -0.055478 0.088690 0.009889 0.089012 0.005020
2687500 215000.000000 0.014040 -0.056964 0.084370 0.010144 0.085664 0.005096
2750000 220000.000000 0.018649 -0.059053 0.068691 0.010412 0.070816 0.005149
