Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 -0.001380 -0.008021 0.032878 0.002908 0.032745 0.002710
125000 10000.000000 -0.002017 -0.012657 0.043731 0.003592 0.043451 0.003206
187500 15000.000000 0.000999 -0.016190 0.073614 0.003905 0.073120 0.003282
250000 20000.000000 0.000844 -0.019151 0.091462 0.004234 0.090634 0.003341
312500 25000.000000 0.001890 -0.022259 0.089506 0.004578 0.088750 0.003378
375000 30000.000000 0.001414 -0.025266 0.085210 0.004935 0.084525 0.003444
437500 35000.000000 -0.000500 -0.027477 0.085929 0.005201 0.084999 0.003496
500000 40000.000000 -0.006553 -0.029480 0.098637 0.005493 0.096342 0.003572
562500 45000.000000 -0.012943 -0.031033 0.111616 0.005710 0.107860 0.003597
625000 50000.000000 -0.033639 -0.032355 0.146341 0.005937 0.135409 0.003647
687500 55000.000000 -0.061089 -0.033382 0.186865 0.006131 0.166702 0.003678
750000 60000.000000 -0.079544 -0.034008 0.211871 0.006311 0.185805 0.003714
812500 65000.000000 -0.087421 -0.034473 0.217404 0.006432 0.189460 0.003706
875000 70000.000000 -0.096017 -0.034759 0.223119 0.006508 0.192790 0.003680
937500 75000.000000 -0.101996 -0.035029 0.225190 0.006621 0.193092 0.003677
1000000 80000.000000 -0.108554 -0.035204 0.235909 0.006703 0.200929 0.003656
1062500 85000.000000 -0.115598 -0.035242 0.237373 0.006792 0.200642 0.003655
1125000 90000.000000 -0.125113 -0.035366 0.236095 0.006888 0.197425 0.003647
1187500 95000.000000 -0.129862 -0.035366 0.231781 0.006990 0.192821 0.003662
1250000 100000.000000 -0.134263 -0.035386 0.227729 0.007084 0.188443 0.003672
1312500 105000.000000 -0.136409 -0.035430 0.225046 0.007173 0.185617 0.003670
1375000 110000.000000 -0.138842 -0.035449 0.219966 0.007250 0.181023 0.003661
1437500 115000.000000 -0.140716 -0.035505 0.213834 0.007410 0.175673 0.003714
1500000 120000.000000 -0.143664 -0.035527 0.209427 0.007451 0.171570 0.003677
1562500 125000.000000 -0.149046 -0.035623 0.209645 0.007566 0.170372 0.003690
1625000 130000.000000 -0.150891 -0.035750 0.203096 0.007742 0.164709 0.003745
1687500 135000.000000 -0.155245 -0.035896 0.199794 0.007939 0.161332 0.003816
1750000 140000.000000 -0.165017 -0.035974 0.209829 0.008029 0.167128 0.003811
1812500 145000.000000 -0.168880 -0.036036 0.206715 0.008071 0.163557 0.003760
1875000 150000.000000 -0.173838 -0.036080 0.204829 0.008173 0.160869 0.003765
1937500 155000.000000 -0.171848 -0.036194 0.197173 0.008323 0.155329 0.003799
2000000 160000.000000 -0.173271 -0.036275 0.195242 0.008381 0.153474 0.003770
2062500 165000.000000 -0.180636 -0.036328 0.209234 0.008479 0.162730 0.003765
2125000 170000.000000 -0.191629 -0.036375 0.227300 0.008570 0.174021 0.003749
2187500 175000.000000 -0.204121 -0.036489 0.244732 0.008771 0.183339 0.003802
