Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.003672 -0.024826 0.022030 0.004074 0.021907 0.003658
125000 10000.000000 0.009595 -0.038186 0.026464 0.005272 0.026410 0.004429
187500 15000.000000 0.016489 -0.049784 0.026267 0.006219 0.026441 0.004959
250000 20000.000000 0.014083 -0.057450 0.028204 0.007057 0.028198 0.005477
312500 25000.000000 0.018852 -0.065051 0.025699 0.007882 0.026049 0.005976
375000 30000.000000 0.038883 -0.074170 0.032911 0.008798 0.033920 0.006434
437500 35000.000000 0.047902 -0.085503 0.033440 0.009692 0.034751 0.006750
500000 40000.000000 0.053109 -0.095735 0.034669 0.010449 0.036114 0.007018
562500 45000.000000 0.049646 -0.103206 0.039673 0.011029 0.040654 0.007187
625000 50000.000000 0.039146 -0.109436 0.033473 0.011554 0.034355 0.007357
687500 55000.000000 0.037096 -0.113625 0.036245 0.012096 0.036754 0.007646
750000 60000.000000 0.017912 -0.116128 0.039856 0.012589 0.038766 0.007939
812500 65000.000000 0.001929 -0.118006 0.040652 0.012935 0.038719 0.008113
875000 70000.000000 -0.006203 -0.119001 0.052636 0.013184 0.049390 0.008198
937500 75000.000000 0.011682 -0.120326 0.044040 0.013477 0.043049 0.008302
1000000 80000.000000 0.038795 -0.122339 0.040825 0.013797 0.041686 0.008423
1062500 85000.000000 0.046064 -0.124351 0.033601 0.014187 0.035449 0.008623
1125000 90000.000000 0.048422 -0.126584 0.036303 0.014611 0.037859 0.008855
1187500 95000.000000 0.043093 -0.129851 0.031093 0.015095 0.032795 0.009122
1250000 100000.000000 0.030246 -0.132294 0.032496 0.015590 0.033453 0.009411
1312500 105000.000000 0.036454 -0.135080 0.033111 0.016088 0.034635 0.009693
1375000 110000.000000 0.045525 -0.138484 0.032262 0.016515 0.034006 0.009858
1437500 115000.000000 0.044314 -0.141999 0.033474 0.017057 0.035452 0.010112
1500000 120000.000000 0.049931 -0.145714 0.029812 0.017515 0.032397 0.010290
1562500 125000.000000 0.065608 -0.149890 0.026619 0.018024 0.030533 0.010523
1625000 130000.000000 0.107328 -0.156451 0.029978 0.018643 0.035628 0.010733
1687500 135000.000000 0.130186 -0.164980 0.026321 0.019304 0.033221 0.010915
1750000 140000.000000 0.133558 -0.175136 0.022901 0.020032 0.029928 0.011151
1812500 145000.000000 0.134172 -0.183251 0.019571 0.020734 0.026594 0.011496
1875000 150000.000000 0.120658 -0.189303 0.020893 0.021402 0.027296 0.011876
1937500 155000.000000 0.115257 -0.191506 0.029089 0.021860 0.034994 0.012169
2000000 160000.000000 0.117055 -0.194632 0.024002 0.022420 0.030148 0.012476
2062500 165000.000000 0.112032 -0.198178 0.028136 0.022802 0.033929 0.012617
