Simulation from altruism.c performed at Mon Oct 17 14:41:58 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.100000
(1 - alpha)*kappa = 0.090000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 388736 382056 6680 0.032427 0.032423 0.032662 0.982412 0.982711 0.965309 0.024071 0.024492 0.000000 2.161706 2.161758 2.158697 0.031852 0.031858 0.031515 -0.000004 0.031866
125000 10000.000000 391426 375252 16174 0.045100 0.044876 0.050284 0.958414 0.959623 0.930366 0.029965 0.031257 0.000000 2.432518 2.429648 2.499102 0.043012 0.042860 0.046529 -0.000212 0.043022
187500 15000.000000 394221 369688 24533 0.057398 0.057060 0.062490 0.937448 0.939962 0.899552 0.034779 0.037087 0.000000 2.651403 2.647428 2.711308 0.053492 0.053330 0.055937 -0.000315 0.053509
250000 20000.000000 394647 365107 29540 0.067706 0.067704 0.067722 0.925455 0.929011 0.881492 0.038391 0.041497 0.000000 2.758265 2.761372 2.719873 0.062666 0.062907 0.059678 0.000007 0.062637
312500 25000.000000 396547 365111 31436 0.085708 0.085773 0.084942 0.920513 0.924231 0.877332 0.044334 0.048151 0.000000 2.992038 2.996639 2.938597 0.078968 0.079342 0.074631 0.000073 0.078974
375000 30000.000000 398006 365866 32140 0.112432 0.112225 0.114785 0.919886 0.924699 0.865091 0.052240 0.056829 0.000000 3.211642 3.215556 3.167091 0.103240 0.103643 0.098653 -0.000185 0.103163
437500 35000.000000 398477 362563 35914 0.128678 0.127693 0.138627 0.910223 0.916022 0.851679 0.055961 0.061504 0.000000 3.355531 3.355037 3.360519 0.116242 0.116193 0.116730 -0.000884 0.116184
500000 40000.000000 398495 356841 41654 0.134469 0.132991 0.147126 0.895727 0.902170 0.840526 0.056311 0.062884 0.000000 3.372781 3.370963 3.388362 0.119092 0.118797 0.121622 -0.001355 0.119090
562500 45000.000000 399258 354252 45006 0.143223 0.141675 0.155410 0.887244 0.894833 0.827508 0.057974 0.065339 0.000000 3.423876 3.423674 3.425469 0.125731 0.125595 0.126807 -0.001343 0.125705
625000 50000.000000 398773 351671 47102 0.142541 0.140512 0.157686 0.882059 0.889878 0.823677 0.057097 0.064745 0.000000 3.396250 3.394953 3.405938 0.123918 0.123471 0.127257 -0.001811 0.123915
687500 55000.000000 398858 345993 52865 0.142144 0.139758 0.157763 0.867841 0.876159 0.813402 0.055685 0.064193 0.000000 3.364664 3.360253 3.393534 0.121314 0.120643 0.125700 -0.002045 0.121234
750000 60000.000000 398998 343355 55643 0.143792 0.141286 0.159258 0.859975 0.869220 0.802932 0.055297 0.064258 0.000000 3.354776 3.351476 3.375136 0.121505 0.120933 0.125032 -0.002152 0.121582
812500 65000.000000 399050 339999 59051 0.154268 0.151354 0.171044 0.852240 0.861737 0.797558 0.057209 0.067145 0.000000 3.414353 3.410041 3.439177 0.128972 0.128219 0.133309 -0.002501 0.128957
875000 70000.000000 399476 337068 62408 0.152298 0.148621 0.172154 0.843934 0.855496 0.781487 0.055821 0.066157 0.000000 3.399104 3.392167 3.436570 0.125457 0.124466 0.130810 -0.003072 0.125403
937500 75000.000000 399900 328922 70978 0.174685 0.168697 0.202436 0.823018 0.837938 0.753880 0.058264 0.070837 0.000000 3.458833 3.450529 3.497315 0.138877 0.137146 0.146900 -0.004892 0.138755
1000000 80000.000000 399220 320257 78963 0.182748 0.174742 0.215218 0.802785 0.819745 0.734001 0.057637 0.071847 0.000000 3.465848 3.453373 3.516444 0.140219 0.137782 0.150104 -0.006489 0.140180
1062500 85000.000000 399453 310693 88760 0.203278 0.193186 0.238601 0.777299 0.795550 0.713416 0.058719 0.075494 0.000000 3.536493 3.521229 3.589922 0.150148 0.146939 0.161380 -0.007860 0.150259
1125000 90000.000000 399796 309016 90780 0.201638 0.191111 0.237473 0.772278 0.791691 0.706195 0.057848 0.074843 0.000000 3.495612 3.479898 3.549104 0.147541 0.144332 0.158464 -0.008180 0.147716
1187500 95000.000000 399784 299561 100223 0.231969 0.217335 0.275707 0.749880 0.772016 0.683715 0.059716 0.079695 0.000000 3.537475 3.512606 3.611808 0.162998 0.157921 0.178173 -0.010951 0.162851
1250000 100000.000000 400822 281660 119162 0.290380 0.272700 0.332168 0.702346 0.726465 0.645335 0.063165 0.089889 0.000000 3.708256 3.688092 3.755918 0.191351 0.186067 0.203839 -0.012596 0.191628
