Simulation from altruism.c performed at Wed Oct 12 16:48:19 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 381605 379159 2446 0.021379 0.021393 0.019219 0.993483 0.993556 0.982103 0.021256 0.021393 0.000000 1.706683 1.707384 1.597902 0.021254 0.021269 0.018877 0.000014 0.021256
125000 10000.000000 385649 381115 4534 0.027523 0.027545 0.025682 0.988352 0.988474 0.978124 0.027221 0.027545 0.000000 1.955755 1.956672 1.878671 0.027223 0.027248 0.025155 0.000021 0.027221
187500 15000.000000 387573 383269 4304 0.031261 0.031260 0.031337 0.988569 0.988701 0.976813 0.030913 0.031260 0.000000 2.097488 2.097686 2.079799 0.030903 0.030906 0.030613 -0.000001 0.030913
250000 20000.000000 387576 382330 5246 0.033056 0.033067 0.032307 0.986427 0.986627 0.971912 0.032619 0.033067 0.000000 2.136144 2.136716 2.094456 0.032616 0.032633 0.031385 0.000009 0.032619
312500 25000.000000 388506 381354 7152 0.035409 0.035408 0.035416 0.981355 0.981681 0.963960 0.034757 0.035408 0.000000 2.228228 2.228868 2.194131 0.034745 0.034756 0.034146 -0.000003 0.034757
375000 30000.000000 387820 378912 8908 0.032072 0.032052 0.032910 0.977105 0.977561 0.957677 0.031316 0.032052 0.000000 2.139437 2.138454 2.181253 0.031322 0.031319 0.031483 -0.000015 0.031316
437500 35000.000000 387648 375676 11972 0.033847 0.033889 0.032507 0.969132 0.969785 0.948635 0.032843 0.033889 0.000000 2.145957 2.148015 2.081366 0.032841 0.032903 0.030889 0.000039 0.032843
500000 40000.000000 390419 378716 11703 0.044262 0.044251 0.044625 0.970036 0.970384 0.958752 0.042924 0.044251 0.000000 2.391864 2.391928 2.389790 0.042933 0.042934 0.042885 -0.000003 0.042924
562500 45000.000000 390726 379021 11705 0.040619 0.040600 0.041233 0.970331 0.970642 0.960286 0.039383 0.040600 0.000000 2.339094 2.338649 2.353501 0.039391 0.039384 0.039633 -0.000022 0.039383
625000 50000.000000 389918 375954 13964 0.038055 0.038015 0.039124 0.964139 0.964495 0.954556 0.036654 0.038015 0.000000 2.305622 2.304840 2.326693 0.036653 0.036629 0.037318 -0.000037 0.036654
687500 55000.000000 390095 376600 13495 0.039900 0.039922 0.039289 0.965381 0.965782 0.954191 0.038541 0.039922 0.000000 2.308339 2.309029 2.289076 0.038538 0.038573 0.037574 0.000019 0.038541
750000 60000.000000 390889 376486 14403 0.040894 0.040944 0.039593 0.962737 0.963234 0.949731 0.039435 0.040944 0.000000 2.338542 2.340189 2.295491 0.039419 0.039485 0.037675 0.000048 0.039435
812500 65000.000000 391744 379635 12109 0.044700 0.044761 0.042802 0.969318 0.969806 0.954015 0.043377 0.044761 0.000000 2.467300 2.469044 2.412616 0.043392 0.043473 0.040851 0.000063 0.043377
875000 70000.000000 390563 381440 9123 0.043911 0.043998 0.040295 0.976521 0.976982 0.957267 0.042970 0.043998 0.000000 2.403658 2.406328 2.292057 0.042967 0.043070 0.038647 0.000087 0.042970
937500 75000.000000 389759 382148 7611 0.039077 0.039167 0.034588 0.980768 0.981112 0.963462 0.038402 0.039167 0.000000 2.289724 2.292436 2.153576 0.038407 0.038506 0.033405 0.000081 0.038402
1000000 80000.000000 391661 384054 7607 0.044913 0.044911 0.045037 0.980699 0.980978 0.966620 0.044039 0.044911 0.000000 2.454009 2.454093 2.449768 0.044051 0.044060 0.043591 0.000004 0.044039
1062500 85000.000000 391238 383957 7281 0.044152 0.044181 0.042643 0.981637 0.981970 0.964092 0.043358 0.044181 0.000000 2.429560 2.430617 2.373834 0.043366 0.043408 0.041115 0.000024 0.043358
1125000 90000.000000 391633 383366 8267 0.045477 0.045467 0.045920 0.978872 0.979210 0.963178 0.044508 0.045467 0.000000 2.472408 2.472468 2.469638 0.044503 0.044510 0.044189 -0.000013 0.044508
1187500 95000.000000 391499 384645 6854 0.043694 0.043716 0.042478 0.982629 0.982904 0.967207 0.042951 0.043716 0.000000 2.429726 2.430395 2.392184 0.042954 0.042987 0.041086 0.000018 0.042951
1250000 100000.000000 391703 383670 8033 0.047580 0.047579 0.047653 0.979872 0.980111 0.968466 0.046603 0.047579 0.000000 2.492040 2.491931 2.497229 0.046621 0.046630 0.046174 -0.000002 0.046603
1312500 105000.000000 390657 382222 8435 0.042949 0.042900 0.045161 0.978484 0.978790 0.964613 0.041974 0.042900 0.000000 2.398877 2.397696 2.452369 0.041977 0.041944 0.043512 -0.000048 0.041974
1375000 110000.000000 391528 382983 8545 0.044974 0.045007 0.043497 0.978165 0.978581 0.959519 0.044025 0.045007 0.000000 2.468493 2.470427 2.381775 0.044021 0.044073 0.041690 0.000029 0.044025
1437500 115000.000000 391113 380110 11003 0.042916 0.042822 0.046143 0.972125 0.972791 0.949122 0.041617 0.042822 0.000000 2.389028 2.387743 2.433410 0.041628 0.041568 0.043702 -0.000091 0.041617
1500000 120000.000000 392834 378686 14148 0.056096 0.056137 0.054987 0.963938 0.964957 0.936658 0.054115 0.056137 0.000000 2.628343 2.628785 2.616517 0.054117 0.054217 0.051431 0.000044 0.054115
1562500 125000.000000 392954 382190 10764 0.055114 0.055288 0.048911 0.972672 0.973603 0.939631 0.053774 0.055288 0.000000 2.599146 2.603868 2.431489 0.053777 0.053994 0.046078 0.000170 0.053774
1625000 130000.000000 392389 383104 9285 0.052350 0.052502 0.046090 0.976606 0.977383 0.944543 0.051260 0.052502 0.000000 2.561813 2.565499 2.409734 0.051265 0.051450 0.043603 0.000139 0.051260
1687500 135000.000000 394936 389351 5585 0.064666 0.064783 0.056505 0.985770 0.986013 0.968827 0.063867 0.064783 0.000000 2.813773 2.815971 2.660515 0.063863 0.063990 0.054974 0.000117 0.063867
1750000 140000.000000 394226 388867 5359 0.061089 0.061140 0.057428 0.986651 0.986803 0.975677 0.060309 0.061140 0.000000 2.726748 2.727919 2.641830 0.060321 0.060380 0.056070 0.000047 0.060309
1812500 145000.000000 392783 387210 5573 0.052634 0.052636 0.052483 0.985905 0.986099 0.972492 0.051889 0.052636 0.000000 2.618098 2.618426 2.595246 0.051897 0.051909 0.051065 0.000005 0.051889
1875000 150000.000000 392825 385805 7020 0.051246 0.051193 0.054150 0.982397 0.982667 0.967539 0.050279 0.051193 0.000000 2.579250 2.578493 2.620856 0.050283 0.050246 0.052308 -0.000061 0.050279
1937500 155000.000000 391586 383226 8360 0.049176 0.049094 0.052947 0.978979 0.979342 0.962305 0.048046 0.049094 0.000000 2.525081 2.523618 2.592156 0.048063 0.048002 0.050866 -0.000079 0.048046
2000000 160000.000000 395203 382397 12806 0.066196 0.065965 0.073091 0.966845 0.967282 0.953793 0.063827 0.065965 0.000000 2.829408 2.826091 2.928469 0.063767 0.063571 0.069631 -0.000234 0.063827
2062500 165000.000000 394070 377897 16173 0.060574 0.060399 0.064674 0.959266 0.959835 0.945948 0.057920 0.060399 0.000000 2.731938 2.729457 2.789913 0.057938 0.057803 0.061088 -0.000169 0.057920
2125000 170000.000000 392875 373490 19385 0.057914 0.057866 0.058849 0.950553 0.951233 0.937440 0.055011 0.057866 0.000000 2.621295 2.620627 2.634164 0.055004 0.054990 0.055272 -0.000047 0.055011
2187500 175000.000000 393765 373189 20576 0.059831 0.059760 0.061133 0.947847 0.948559 0.934940 0.056637 0.059760 0.000000 2.690824 2.689685 2.711487 0.056637 0.056606 0.057186 -0.000074 0.056637
2250000 180000.000000 394170 373630 20540 0.062459 0.062348 0.064485 0.947595 0.948201 0.936579 0.059099 0.062348 0.000000 2.702303 2.701509 2.716758 0.059091 0.059019 0.060387 -0.000095 0.059099
2312500 185000.000000 394818 372972 21846 0.067623 0.067583 0.068311 0.944668 0.945301 0.933856 0.063843 0.067583 0.000000 2.821714 2.821511 2.825183 0.063840 0.063842 0.063810 -0.000041 0.063843
2375000 190000.000000 394653 373508 21145 0.067225 0.067284 0.066184 0.946597 0.947432 0.931838 0.063679 0.067284 0.000000 2.796899 2.799013 2.759552 0.063694 0.063806 0.061708 0.000059 0.063679
2437500 195000.000000 394967 374729 20238 0.071583 0.071666 0.070049 0.948269 0.949181 0.931384 0.067994 0.071666 0.000000 2.864241 2.866490 2.822596 0.067984 0.068122 0.065422 0.000104 0.067994
2500000 200000.000000 394676 375604 19072 0.073962 0.074091 0.071418 0.951397 0.952507 0.929547 0.070511 0.074091 0.000000 2.894278 2.896722 2.846147 0.070484 0.070694 0.066352 0.000117 0.070511
2562500 205000.000000 394631 378458 16173 0.069850 0.069994 0.066503 0.959712 0.960898 0.931958 0.067125 0.069994 0.000000 2.838257 2.841922 2.752492 0.067169 0.067388 0.062054 0.000133 0.067125
2625000 210000.000000 395012 380189 14823 0.062385 0.062253 0.065766 0.962292 0.963476 0.931921 0.059917 0.062253 0.000000 2.761976 2.762416 2.750684 0.059908 0.059848 0.061450 -0.000124 0.059917
2687500 215000.000000 393790 375968 17822 0.059415 0.059049 0.067141 0.954443 0.955589 0.930275 0.056376 0.059049 0.000000 2.692903 2.688441 2.787038 0.056362 0.056083 0.062254 -0.000346 0.056376
2750000 220000.000000 393520 372021 21499 0.061168 0.060924 0.065395 0.944868 0.946292 0.920233 0.057596 0.060924 0.000000 2.686209 2.686055 2.688871 0.057586 0.057452 0.059898 -0.000210 0.057596
2812500 225000.000000 393296 368444 24852 0.057631 0.057243 0.063380 0.936775 0.938878 0.905593 0.053626 0.057243 0.000000 2.613657 2.611311 2.648443 0.053583 0.053357 0.056942 -0.000404 0.053626
2875000 230000.000000 394532 356759 37773 0.078217 0.077323 0.086654 0.904359 0.906645 0.882763 0.069920 0.077323 0.000000 2.893356 2.882581 2.995129 0.069958 0.069296 0.076209 -0.000778 0.069920
2937500 235000.000000 393249 350313 42936 0.063925 0.063687 0.065871 0.891123 0.892858 0.876972 0.056733 0.063687 0.000000 2.677139 2.675109 2.693697 0.056736 0.056621 0.057669 -0.000230 0.056733
3000000 240000.000000 393298 346758 46540 0.065606 0.065388 0.067224 0.881994 0.883407 0.871460 0.057651 0.065388 0.000000 2.690224 2.687857 2.707860 0.057687 0.057572 0.058544 -0.000177 0.057651
3062500 245000.000000 392629 345749 46880 0.058513 0.058428 0.059137 0.880272 0.881464 0.871484 0.051452 0.058428 0.000000 2.560107 2.559755 2.562707 0.051424 0.051411 0.051521 -0.000083 0.051452
3125000 250000.000000 391555 345738 45817 0.049232 0.049299 0.048726 0.882639 0.883996 0.872399 0.043531 0.049299 0.000000 2.424635 2.428911 2.392366 0.043507 0.043631 0.042574 0.000053 0.043531
3187500 255000.000000 390496 347127 43369 0.043383 0.043332 0.043790 0.889696 0.890879 0.880223 0.038519 0.043332 0.000000 2.307624 2.308646 2.299441 0.038562 0.038562 0.038562 -0.000035 0.038519
3250000 260000.000000 391507 344890 46617 0.049341 0.049179 0.050538 0.880664 0.882166 0.869554 0.043324 0.049179 0.000000 2.457183 2.455927 2.466481 0.043290 0.043225 0.043773 -0.000163 0.043324
3312500 265000.000000 389510 342622 46888 0.043222 0.043223 0.043215 0.878936 0.881275 0.861845 0.038020 0.043223 0.000000 2.285621 2.287083 2.274938 0.037986 0.038095 0.037191 -0.000004 0.038020
3375000 270000.000000 390296 347073 43223 0.044661 0.044643 0.044804 0.889424 0.891948 0.869155 0.039699 0.044643 0.000000 2.374719 2.377391 2.353262 0.039719 0.039812 0.038974 -0.000004 0.039699
3437500 275000.000000 388729 346260 42469 0.038351 0.038373 0.038177 0.891417 0.893618 0.873476 0.034180 0.038373 0.000000 2.196835 2.198537 2.182963 0.034190 0.034291 0.033362 0.000003 0.034180
