Simulation from altruism.c performed at Wed Oct 12 16:50:18 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.001000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.100000
(1 - alpha)*kappa = 0.090000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 391414 387673 3741 0.042466 0.042455 0.043599 0.990376 0.990480 0.979661 0.030008 0.030298 0.000000 2.464801 2.464578 2.487963 0.042046 0.042039 0.042718 -0.000011 0.042049
125000 10000.000000 394720 389267 5453 0.065309 0.065334 0.063463 0.986308 0.986552 0.968848 0.039695 0.040251 0.000000 2.787577 2.788364 2.731398 0.064439 0.064480 0.061532 0.000025 0.064432
187500 15000.000000 395902 388711 7191 0.079963 0.079961 0.080080 0.981940 0.982259 0.964683 0.045734 0.046581 0.000000 3.006264 3.006532 2.991751 0.078526 0.078550 0.077259 0.000007 0.078509
250000 20000.000000 395876 387556 8320 0.076655 0.076758 0.071844 0.978530 0.978892 0.961669 0.044324 0.045276 0.000000 2.986043 2.987960 2.896753 0.075099 0.075225 0.069240 0.000090 0.075145
312500 25000.000000 396320 387363 8957 0.077316 0.077391 0.074078 0.977058 0.977432 0.960879 0.044411 0.045438 0.000000 2.964658 2.965873 2.912098 0.075621 0.075722 0.071247 0.000078 0.075642
375000 30000.000000 396992 387330 9662 0.083193 0.083248 0.081000 0.975591 0.976114 0.954648 0.046446 0.047605 0.000000 3.054241 3.055400 3.007795 0.081212 0.081306 0.077430 0.000049 0.081222
437500 35000.000000 397366 388033 9333 0.088244 0.088413 0.081197 0.976542 0.977040 0.955808 0.048164 0.049323 0.000000 3.096994 3.098557 3.032019 0.086323 0.086529 0.077747 0.000149 0.086337
500000 40000.000000 397456 387627 9829 0.106625 0.106757 0.101436 0.975273 0.975794 0.954715 0.053510 0.054866 0.000000 3.201765 3.203506 3.133110 0.104120 0.104296 0.097200 0.000131 0.104117
562500 45000.000000 398780 388928 9852 0.128423 0.128472 0.126519 0.975582 0.976012 0.958590 0.060331 0.061859 0.000000 3.402965 3.403961 3.363676 0.125338 0.125440 0.121336 0.000051 0.125298
625000 50000.000000 398758 388936 9822 0.134439 0.134426 0.134942 0.975263 0.975725 0.956959 0.062164 0.063733 0.000000 3.462389 3.462786 3.446679 0.131090 0.131140 0.129114 -0.000024 0.131115
687500 55000.000000 398693 386724 11969 0.142294 0.141957 0.153167 0.969978 0.970633 0.948813 0.063444 0.065408 0.000000 3.480888 3.480166 3.504196 0.137684 0.137463 0.144825 -0.000337 0.137696
750000 60000.000000 399656 386396 13260 0.144721 0.144168 0.160838 0.966504 0.967346 0.941987 0.063660 0.065845 0.000000 3.487748 3.486847 3.513999 0.139327 0.138949 0.150341 -0.000546 0.139385
812500 65000.000000 399537 385118 14419 0.144919 0.144369 0.159609 0.963935 0.964915 0.937748 0.063420 0.065795 0.000000 3.475649 3.474845 3.497120 0.139144 0.138787 0.148660 -0.000549 0.139159
875000 70000.000000 399736 383550 16186 0.150378 0.149867 0.162488 0.959412 0.960698 0.928928 0.064691 0.067421 0.000000 3.534020 3.532945 3.559495 0.143798 0.143527 0.150236 -0.000476 0.143799
937500 75000.000000 400142 383359 16783 0.144386 0.143845 0.156739 0.957644 0.959150 0.923252 0.062826 0.065576 0.000000 3.467434 3.466544 3.487771 0.137763 0.137497 0.143827 -0.000507 0.137812
1000000 80000.000000 399385 380623 18762 0.142125 0.141666 0.151432 0.953193 0.954926 0.918040 0.061716 0.064759 0.000000 3.428287 3.428870 3.416465 0.135052 0.134901 0.138121 -0.000420 0.135011
1062500 85000.000000 398889 379955 18934 0.141802 0.141238 0.153107 0.952820 0.954595 0.917214 0.061709 0.064784 0.000000 3.432515 3.431289 3.457121 0.134566 0.134327 0.139368 -0.000545 0.134534
1125000 90000.000000 399580 378842 20738 0.143354 0.142736 0.154638 0.948101 0.950138 0.910903 0.061685 0.065062 0.000000 3.444812 3.443068 3.476668 0.135356 0.135104 0.139946 -0.000558 0.135328
1187500 95000.000000 399267 377848 21419 0.136307 0.135689 0.147223 0.946394 0.948754 0.904746 0.059777 0.063166 0.000000 3.389289 3.387949 3.412930 0.128406 0.128196 0.132115 -0.000595 0.128410
1250000 100000.000000 399983 377459 22524 0.143549 0.142933 0.153867 0.944140 0.946777 0.899934 0.061979 0.065677 0.000000 3.481409 3.480684 3.493562 0.134976 0.134850 0.137096 -0.000554 0.134884
1312500 105000.000000 399098 376769 22329 0.136571 0.136013 0.145991 0.944053 0.946955 0.895093 0.060058 0.063617 0.000000 3.412501 3.412457 3.413244 0.128448 0.128377 0.129644 -0.000482 0.128403
1375000 110000.000000 398867 375313 23554 0.131671 0.131139 0.140156 0.941518 0.944805 0.889155 0.058382 0.062046 0.000000 3.367917 3.368626 3.356622 0.123491 0.123486 0.123563 -0.000480 0.123395
1437500 115000.000000 399270 375117 24153 0.132657 0.131983 0.143134 0.939188 0.942881 0.881820 0.058701 0.062480 0.000000 3.368836 3.368429 3.375149 0.123939 0.123898 0.124574 -0.000651 0.123999
1500000 120000.000000 398439 371655 26784 0.134181 0.133231 0.147360 0.933090 0.937943 0.865744 0.058413 0.062623 0.000000 3.365441 3.365593 3.363333 0.124300 0.124250 0.124989 -0.000903 0.124275
1562500 125000.000000 398947 369472 29475 0.134147 0.132778 0.151309 0.925964 0.931603 0.855276 0.057845 0.062460 0.000000 3.369038 3.367857 3.383836 0.122954 0.122672 0.126490 -0.001261 0.122968
1625000 130000.000000 399133 367373 31760 0.134574 0.133219 0.150247 0.919859 0.925961 0.849284 0.057650 0.062634 0.000000 3.364683 3.364784 3.363517 0.122574 0.122374 0.124892 -0.001214 0.122618
1687500 135000.000000 398695 364226 34469 0.138776 0.137299 0.154389 0.913220 0.920751 0.833642 0.058236 0.063748 0.000000 3.387091 3.386962 3.388450 0.125343 0.125255 0.126280 -0.001390 0.125429
1750000 140000.000000 399270 362360 36910 0.138619 0.137102 0.153510 0.908165 0.916277 0.828530 0.057676 0.063550 0.000000 3.388347 3.388507 3.386776 0.124560 0.124527 0.124878 -0.001330 0.124428
1812500 145000.000000 399099 362368 36731 0.142747 0.141289 0.157132 0.908027 0.916347 0.825941 0.058741 0.064695 0.000000 3.405390 3.406785 3.391622 0.128267 0.128354 0.127408 -0.001352 0.128285
1875000 150000.000000 399587 361540 38047 0.144076 0.141943 0.164347 0.904548 0.913317 0.821221 0.058564 0.064726 0.000000 3.401128 3.400662 3.405558 0.128418 0.128088 0.131549 -0.001906 0.128427
1937500 155000.000000 399272 360963 38309 0.153228 0.150676 0.177275 0.904730 0.912853 0.828190 0.060494 0.066914 0.000000 3.445165 3.441633 3.478449 0.136327 0.135693 0.142307 -0.002302 0.136219
2000000 160000.000000 398971 356360 42611 0.166265 0.162016 0.201796 0.893469 0.903600 0.808746 0.062019 0.069435 0.000000 3.492919 3.486923 3.543070 0.144745 0.143312 0.156735 -0.003807 0.144712
2062500 165000.000000 399974 356815 43159 0.158601 0.153962 0.196952 0.891990 0.902918 0.801646 0.059788 0.067020 0.000000 3.435209 3.427558 3.498464 0.137308 0.135706 0.150556 -0.004162 0.137349
2125000 170000.000000 399216 351410 47806 0.168098 0.162575 0.208689 0.880991 0.894382 0.782557 0.061033 0.069336 0.000000 3.482087 3.476236 3.525094 0.143266 0.141580 0.155655 -0.004827 0.143107
2187500 175000.000000 399717 348140 51577 0.172660 0.165975 0.217785 0.870822 0.885756 0.770020 0.061017 0.070057 0.000000 3.488209 3.479950 3.543954 0.144474 0.142260 0.159417 -0.005882 0.144558
2250000 180000.000000 399640 344319 55321 0.179853 0.171533 0.231641 0.860723 0.877062 0.759028 0.061019 0.070822 0.000000 3.488921 3.476771 3.564537 0.147610 0.144497 0.166985 -0.007194 0.147788
2312500 185000.000000 399530 331113 68417 0.221865 0.208541 0.286350 0.828269 0.848890 0.728469 0.064889 0.078296 0.000000 3.604908 3.586102 3.695924 0.172797 0.167065 0.200534 -0.010967 0.172830
2375000 190000.000000 401100 321739 79361 0.250457 0.234179 0.316451 0.801915 0.824066 0.712108 0.066190 0.082517 0.000000 3.658919 3.632051 3.767845 0.187663 0.180251 0.217710 -0.013182 0.187844
2437500 195000.000000 400711 315303 85408 0.263737 0.245799 0.329961 0.785983 0.809345 0.699734 0.066485 0.084494 0.000000 3.677638 3.645991 3.794470 0.193202 0.184987 0.223528 -0.014091 0.193409
2500000 200000.000000 399652 310138 89514 0.268743 0.250922 0.330488 0.776368 0.800062 0.694277 0.066164 0.085261 0.000000 3.676785 3.648155 3.775976 0.194698 0.186638 0.222622 -0.013946 0.194721
2562500 205000.000000 401044 301660 99384 0.296524 0.277536 0.354157 0.752271 0.776173 0.679722 0.067601 0.089873 0.000000 3.737491 3.707060 3.829856 0.208746 0.200204 0.234674 -0.014320 0.208759
2625000 210000.000000 400090 297105 102985 0.293400 0.275232 0.345814 0.741721 0.765968 0.671767 0.066466 0.089505 0.000000 3.708629 3.678517 3.795498 0.204020 0.196207 0.226561 -0.013601 0.204386
2687500 215000.000000 400655 284995 115660 0.332908 0.317096 0.371871 0.711386 0.733059 0.657981 0.069318 0.097450 0.000000 3.807211 3.788682 3.852867 0.225429 0.219433 0.240203 -0.011397 0.225557
2750000 220000.000000 400978 279363 121615 0.342877 0.327661 0.377829 0.697377 0.718332 0.649241 0.069123 0.099214 0.000000 3.825054 3.808356 3.863413 0.228563 0.223200 0.240884 -0.010551 0.228283
2812500 225000.000000 400727 275440 125287 0.348617 0.333115 0.382698 0.689126 0.709625 0.644057 0.068757 0.100032 0.000000 3.830705 3.814013 3.867402 0.229650 0.224151 0.241741 -0.010591 0.228967
2875000 230000.000000 400599 272679 127920 0.347614 0.333922 0.376801 0.681076 0.699029 0.642807 0.068397 0.100484 0.000000 3.828316 3.813130 3.860688 0.227406 0.222760 0.237308 -0.009346 0.227293
2937500 235000.000000 401539 271414 130125 0.343142 0.329578 0.371436 0.676331 0.694943 0.637510 0.067500 0.099862 0.000000 3.824682 3.810052 3.855196 0.223023 0.218782 0.231868 -0.009055 0.222773
3000000 240000.000000 400895 269037 131858 0.338328 0.324805 0.365918 0.672482 0.691639 0.633396 0.066478 0.099059 0.000000 3.799885 3.785987 3.828241 0.218457 0.214364 0.226807 -0.009063 0.217974
3062500 245000.000000 401449 266937 134512 0.338718 0.326307 0.363346 0.665350 0.683609 0.629116 0.066137 0.099463 0.000000 3.802645 3.790116 3.827507 0.217043 0.213607 0.223863 -0.008323 0.216973
3125000 250000.000000 400903 264210 136693 0.334141 0.320366 0.360767 0.659038 0.677733 0.622903 0.064785 0.098302 0.000000 3.798181 3.783920 3.825745 0.211147 0.207043 0.219080 -0.009065 0.211133
3187500 255000.000000 400310 257336 142974 0.346728 0.333848 0.369909 0.643426 0.660892 0.611991 0.064624 0.100528 0.000000 3.792063 3.778956 3.815653 0.214909 0.211302 0.221402 -0.008184 0.214612
3250000 260000.000000 400583 256719 143864 0.343400 0.330213 0.366931 0.640982 0.658558 0.609620 0.063932 0.099759 0.000000 3.780778 3.767071 3.805238 0.211732 0.207905 0.218562 -0.008381 0.211621
3312500 265000.000000 401034 255541 145493 0.335758 0.323598 0.357117 0.637089 0.653748 0.607828 0.062819 0.098586 0.000000 3.758964 3.747354 3.779354 0.206004 0.202771 0.211683 -0.007904 0.206198
3375000 270000.000000 400885 254117 146768 0.331548 0.319260 0.352824 0.633136 0.650810 0.602536 0.062068 0.097915 0.000000 3.750501 3.740067 3.768566 0.202072 0.199090 0.207236 -0.007843 0.202376
3437500 275000.000000 400680 252373 148307 0.329905 0.316434 0.352829 0.629542 0.649340 0.595852 0.061313 0.097344 0.000000 3.733040 3.719416 3.756223 0.199352 0.196060 0.204952 -0.008337 0.199310
3500000 280000.000000 400504 247847 152657 0.333313 0.319398 0.355905 0.618024 0.636740 0.587638 0.060451 0.097685 0.000000 3.728644 3.716330 3.748635 0.197417 0.193859 0.203194 -0.008578 0.197656
3562500 285000.000000 400358 244246 156112 0.339149 0.325558 0.360411 0.609746 0.626930 0.582859 0.060261 0.098777 0.000000 3.733187 3.722217 3.750351 0.198415 0.194986 0.203779 -0.008380 0.198613
3625000 290000.000000 400615 242919 157696 0.332810 0.318979 0.354116 0.606319 0.623886 0.579259 0.059080 0.097432 0.000000 3.700601 3.689440 3.717794 0.193606 0.190029 0.199116 -0.008184 0.193418
3687500 295000.000000 400561 240253 160308 0.333766 0.321155 0.352665 0.598895 0.614838 0.575002 0.058653 0.097788 0.000000 3.710324 3.701038 3.724240 0.192302 0.188984 0.197276 -0.007588 0.192626
3750000 300000.000000 400623 235655 164968 0.357689 0.344707 0.376233 0.588063 0.602725 0.567118 0.059667 0.101437 0.000000 3.729834 3.721700 3.741454 0.202757 0.199347 0.207629 -0.007586 0.202764
3812500 305000.000000 401001 229357 171644 0.384611 0.372655 0.400588 0.570952 0.582657 0.555311 0.060484 0.105748 0.000000 3.776071 3.765638 3.790011 0.212657 0.209649 0.216677 -0.006937 0.213144
3875000 310000.000000 400617 223918 176699 0.400875 0.388227 0.416904 0.560033 0.571542 0.545449 0.060489 0.108222 0.000000 3.771819 3.765024 3.780429 0.217453 0.214499 0.221196 -0.007050 0.216993
3937500 315000.000000 401314 223656 177658 0.406473 0.391956 0.424748 0.556654 0.569578 0.540383 0.060614 0.108762 0.000000 3.782755 3.774834 3.792726 0.218217 0.214855 0.222449 -0.008048 0.218441
4000000 320000.000000 400059 218021 182038 0.422909 0.404651 0.444776 0.546363 0.560226 0.529759 0.060053 0.110195 0.000000 3.804749 3.794952 3.816483 0.221289 0.216918 0.226524 -0.009773 0.220524
4062500 325000.000000 401417 217981 183436 0.414728 0.396953 0.435850 0.542984 0.557661 0.525543 0.059183 0.108988 0.000000 3.798137 3.787454 3.810832 0.215578 0.211589 0.220318 -0.009613 0.215557
4125000 330000.000000 401077 217119 183958 0.409596 0.390569 0.432054 0.540816 0.556557 0.522237 0.058330 0.107751 0.000000 3.758053 3.744644 3.773879 0.211375 0.207048 0.216481 -0.010142 0.211430
4187500 335000.000000 401145 215056 186089 0.407151 0.388696 0.428478 0.536526 0.551961 0.518688 0.057802 0.107818 0.000000 3.756545 3.743629 3.771472 0.208641 0.204906 0.212958 -0.009805 0.208382
4250000 340000.000000 401168 213816 187352 0.397413 0.377627 0.419994 0.533197 0.549211 0.514920 0.056225 0.105490 0.000000 3.716548 3.700468 3.734900 0.201345 0.196622 0.206736 -0.010554 0.201269
4312500 345000.000000 400516 208005 192511 0.403790 0.386105 0.422897 0.519986 0.534580 0.504218 0.055670 0.107194 0.000000 3.717664 3.706726 3.729483 0.200922 0.197314 0.204820 -0.009043 0.200521
4375000 350000.000000 400916 206420 194496 0.406456 0.389325 0.424638 0.514471 0.529011 0.499040 0.055552 0.107896 0.000000 3.729776 3.716459 3.743910 0.200331 0.197201 0.203653 -0.008779 0.200452
4437500 355000.000000 400699 204793 195906 0.397763 0.383686 0.412478 0.511254 0.526681 0.495126 0.054708 0.107042 0.000000 3.699472 3.693807 3.705394 0.196041 0.194285 0.197877 -0.007317 0.196098
4500000 360000.000000 400584 203870 196714 0.405048 0.388423 0.422277 0.508788 0.522993 0.494066 0.055000 0.108070 0.000000 3.729382 3.722022 3.737009 0.197591 0.195166 0.200104 -0.008493 0.197681
4562500 365000.000000 400202 201449 198753 0.406088 0.387308 0.425124 0.503366 0.518244 0.488286 0.054168 0.107610 0.000000 3.711201 3.702500 3.720019 0.194834 0.191610 0.198102 -0.009577 0.194958
4625000 370000.000000 400622 198116 202506 0.411411 0.390000 0.432358 0.495195 0.511152 0.479584 0.053382 0.107948 0.000000 3.702054 3.687046 3.716736 0.193028 0.189165 0.196808 -0.010700 0.192863
4687500 375000.000000 400067 195724 204343 0.420939 0.393824 0.446910 0.488895 0.506559 0.471976 0.052832 0.107991 0.000000 3.682753 3.659843 3.704696 0.192472 0.187070 0.197647 -0.013323 0.192670
4750000 380000.000000 401477 191837 209640 0.448461 0.419630 0.474844 0.476904 0.495018 0.460328 0.053327 0.111603 0.000000 3.713179 3.698241 3.726848 0.200292 0.195268 0.204889 -0.013580 0.200511
4812500 385000.000000 401223 188093 213130 0.466084 0.437305 0.491483 0.468189 0.486828 0.451739 0.053525 0.114175 0.000000 3.731628 3.718696 3.743042 0.204704 0.200044 0.208817 -0.013511 0.205008
