Simulation from altruism.c performed at Mon Oct 17 14:34:40 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 1.000000
(1 - alpha)*kappa = 0.000000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 386723 377998 8725 0.032033 0.032040 0.031760 0.977547 0.977963 0.959528 0.031317 0.032040 0.000000 2.053926 2.055040 2.005665 0.031319 0.031337 0.030517 0.000004 0.031317
125000 10000.000000 389588 375751 13837 0.038679 0.038657 0.039276 0.964739 0.965540 0.942999 0.037284 0.038657 0.000000 2.272286 2.272975 2.253583 0.037298 0.037308 0.037028 -0.000017 0.037284
187500 15000.000000 390235 373321 16914 0.043700 0.043658 0.044607 0.956521 0.957972 0.924487 0.041766 0.043658 0.000000 2.382443 2.382803 2.374508 0.041758 0.041780 0.041268 -0.000042 0.041766
250000 20000.000000 391907 374636 17271 0.047250 0.047363 0.044811 0.955964 0.957475 0.923173 0.045275 0.047363 0.000000 2.468129 2.472204 2.379727 0.045282 0.045455 0.041523 0.000113 0.045275
312500 25000.000000 391811 376242 15569 0.051609 0.051640 0.050847 0.960344 0.961662 0.928503 0.049588 0.051640 0.000000 2.530040 2.532438 2.472085 0.049597 0.049696 0.047215 0.000035 0.049588
375000 30000.000000 391614 375910 15704 0.046914 0.046866 0.048056 0.959951 0.961384 0.925650 0.044987 0.046866 0.000000 2.456020 2.455616 2.465688 0.044995 0.045013 0.044548 -0.000040 0.044987
437500 35000.000000 392403 375091 17312 0.049400 0.049310 0.051352 0.956336 0.957854 0.923443 0.047134 0.049310 0.000000 2.537047 2.536714 2.544251 0.047157 0.047147 0.047360 -0.000086 0.047134
500000 40000.000000 389518 370273 19245 0.039471 0.039381 0.041204 0.950854 0.953006 0.909457 0.037436 0.039381 0.000000 2.262845 2.263473 2.250761 0.037456 0.037462 0.037335 -0.000076 0.037436
562500 45000.000000 390723 368297 22426 0.042519 0.042517 0.042555 0.943084 0.945825 0.898076 0.040077 0.042517 0.000000 2.358062 2.360373 2.320115 0.040086 0.040203 0.038164 -0.000013 0.040077
