Simulation from altruism.c performed at Mon Oct 17 14:35:40 2022

Output files are created with the same id as this file.
Predefined parameters:
Tmax = 5000001
DeltaTime = 0.080000
DeltaSpace = 0.100000
Initial population size = 335544
Number of positions = 1048576
Initial altruism level = 0.000000
Initial p = 1.000000
Death rate = 1.000000
Birth rate = 5.000000
Mutation probability production = 0.001000
Mean mutation size production = 0.005000
Mutation probability p = 0.005000
Mean mutation size p = 0.005000
Scale of altruism = 1
Scale of competition = 4
Scale of movement = 0.080000
B0 = 1.000000
BMAX = 5.000000
alpha = 0.500000
(1 - alpha)*kappa = 0.050000
kappa = 0.100000
K = 40
Number of fields (kernel) = 7
Timestep Time Population_size As Bs Mean_altruism_all Mean_altruism_A Mean_altruism_B Mean_p_all Mean_p_A Mean_p_B Mean_cost_all Mean_cost_A Mean_cost_B Mean_benefit_all Mean_benefit_A Mean_benefit_B Mean_production_all Mean_production_A Mean_production_B Covariance_p_altruism Mean_expressed_altruism
0 0.000000 335544 335544 0 0.000000 0.000000 -nan 1.000000 1.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000 -nan 0.000000 0.000000
62500 5000.000000 385618 374088 11530 0.028762 0.028622 0.033290 0.969811 0.970625 0.943384 0.024192 0.024938 0.000000 1.957860 1.953941 2.085010 0.027761 0.027654 0.031228 -0.000133 0.027766
125000 10000.000000 387336 361876 25460 0.034342 0.034128 0.037376 0.933927 0.935911 0.905726 0.027247 0.029164 0.000000 2.108121 2.103866 2.168595 0.031888 0.031754 0.033790 -0.000185 0.031885
187500 15000.000000 391580 357515 34065 0.049110 0.048587 0.054601 0.913944 0.917672 0.874821 0.036418 0.039888 0.000000 2.452311 2.447187 2.506094 0.044436 0.044171 0.047217 -0.000448 0.044360
250000 20000.000000 391581 353648 37933 0.051225 0.050548 0.057539 0.904003 0.909307 0.854555 0.037141 0.041125 0.000000 2.457620 2.449882 2.529759 0.045670 0.045343 0.048725 -0.000637 0.045651
312500 25000.000000 393501 351905 41596 0.058194 0.057647 0.062821 0.893930 0.900213 0.840777 0.041322 0.046206 0.000000 2.593269 2.591039 2.612136 0.051535 0.051415 0.052548 -0.000487 0.051553
375000 30000.000000 394218 349302 44916 0.065061 0.064790 0.067168 0.886227 0.892848 0.834739 0.045346 0.051176 0.000000 2.697795 2.702371 2.662212 0.057420 0.057595 0.056061 -0.000239 0.057408
437500 35000.000000 394708 351607 43101 0.071875 0.071540 0.074607 0.889988 0.895423 0.845657 0.049617 0.055699 0.000000 2.800165 2.798971 2.809900 0.063687 0.063747 0.063195 -0.000281 0.063728
500000 40000.000000 394554 349892 44662 0.073078 0.073239 0.071813 0.886360 0.892970 0.834571 0.050276 0.056693 0.000000 2.795127 2.802306 2.738890 0.064877 0.065465 0.060271 0.000104 0.064949
562500 45000.000000 394934 355112 39822 0.072474 0.072486 0.072366 0.898259 0.903277 0.853512 0.050547 0.056215 0.000000 2.803166 2.807533 2.764228 0.065101 0.065449 0.061999 0.000001 0.065177
