Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 -0.011168 -0.019929 0.029702 0.003494 0.028912 0.003190
125000 10000.000000 -0.013859 -0.028287 0.058100 0.004226 0.056414 0.003391
187500 15000.000000 -0.010246 -0.036041 0.071886 0.004967 0.069987 0.003479
250000 20000.000000 -0.008416 -0.043962 0.079820 0.005765 0.077504 0.003541
312500 25000.000000 -0.009490 -0.050113 0.093091 0.006445 0.089862 0.003602
375000 30000.000000 -0.016954 -0.054581 0.107385 0.007085 0.102530 0.003635
437500 35000.000000 -0.021618 -0.058255 0.111993 0.007724 0.106257 0.003677
500000 40000.000000 -0.024979 -0.062003 0.107496 0.008295 0.101789 0.003654
562500 45000.000000 -0.027685 -0.065747 0.121044 0.008892 0.114510 0.003682
625000 50000.000000 -0.023600 -0.069028 0.151357 0.009630 0.142449 0.003721
687500 55000.000000 -0.029318 -0.072275 0.150063 0.010325 0.140045 0.003700
750000 60000.000000 -0.038526 -0.075150 0.144255 0.011020 0.132843 0.003745
812500 65000.000000 -0.049301 -0.078461 0.157215 0.011790 0.141129 0.003790
875000 70000.000000 -0.060331 -0.080515 0.195299 0.012407 0.171625 0.003776
937500 75000.000000 -0.073444 -0.082005 0.218533 0.013014 0.187926 0.003751
1000000 80000.000000 -0.088814 -0.083260 0.217960 0.013718 0.183007 0.003788
1062500 85000.000000 -0.100129 -0.084424 0.231393 0.014461 0.190684 0.003814
1125000 90000.000000 -0.124842 -0.085809 0.254736 0.015337 0.198684 0.003832
1187500 95000.000000 -0.160937 -0.086616 0.293113 0.016271 0.215686 0.003838
1250000 100000.000000 -0.185880 -0.087371 0.305046 0.017362 0.212826 0.003815
1312500 105000.000000 -0.206567 -0.088116 0.327147 0.018694 0.218013 0.003803
1375000 110000.000000 -0.247211 -0.088922 0.379237 0.020609 0.226684 0.003839
1437500 115000.000000 -0.290999 -0.089617 0.432417 0.023119 0.234119 0.003837
1500000 120000.000000 -0.327275 -0.090290 0.491873 0.026617 0.242100 0.003815
1562500 125000.000000 -0.363277 -0.090877 -2580.341409 2580.920084 0.247974 0.003822
1625000 130000.000000 -0.417537 -0.091248 1595932.538161 8939.785410 0.254824 0.003803
1687500 135000.000000 -0.467885 -0.091324 5294960.992083 -2200477.141104 0.259871 0.003779
1750000 140000.000000 -0.506347 -0.091171 6294085.832246 -4334963.348106 0.261593 0.003708
1812500 145000.000000 -0.534830 -0.090955 13148266.794510 -10290263.319388 0.260988 0.003692
1875000 150000.000000 -0.563957 -0.090617 13702714.148583 2213269.202607 0.261013 0.003739
1937500 155000.000000 -0.587869 -0.090067 114509844.940258 -77352817.146749 0.259509 0.003741
2000000 160000.000000 -0.610478 -0.088962 328200499.606851 -282692929.504064 0.258386 0.003759
2062500 165000.000000 -0.650337 -0.087286 538015553.438952 -450457354.679638 0.258761 0.003730
2125000 170000.000000 -0.673567 -0.084339 933631728.913135 -845680208.111893 0.255519 0.003709
2187500 175000.000000 -0.697607 -0.081792 1277366146.219294 -1157547978.298046 0.254607 0.003738
2250000 180000.000000 -0.718177 -0.078091 1803805618.064564 -1678490742.416959 0.246957 0.003760
2312500 185000.000000 -0.741588 -0.074494 2152690045.007394 -2082849927.924836 0.245909 0.003782
2375000 190000.000000 -0.751106 -0.071668 2509843034.080825 -2425481852.218674 0.244967 0.003777
2437500 195000.000000 -0.770202 -0.068491 2859432895.109808 -2784288473.252510 0.242766 0.003762
2500000 200000.000000 -0.779526 -0.065055 3202657814.131513 -3112863787.308401 0.241504 0.003793
2562500 205000.000000 -0.795140 -0.061089 3532460753.329330 -3448641130.139978 0.238047 0.003785
2625000 210000.000000 -0.803976 -0.057925 3756327736.797174 -3681129080.207913 0.238877 0.003772
2687500 215000.000000 -0.810686 -0.054466 4066296193.845754 -3965111853.367221 0.237644 0.003771
2750000 220000.000000 -0.810690 -0.049658 4440225183.822439 -4328908350.785009 0.232919 0.003762
2812500 225000.000000 -0.827931 -0.046048 4777276993.591343 -4676887509.325272 0.232342 0.003751
2875000 230000.000000 -0.841348 -0.041875 5132266814.633101 -5021916232.292073 0.232978 0.003702
2937500 235000.000000 -0.848988 -0.037866 5370270433.363631 -5237066867.676498 0.230788 0.003740
3000000 240000.000000 -0.854356 -0.034278 5505897803.982562 -5450843015.768442 0.229489 0.003725
3062500 245000.000000 -0.867337 -0.030414 5767910924.395453 -5664233843.306696 0.228692 0.003770
3125000 250000.000000 -0.878400 -0.026032 6124587596.216785 -6031917941.053591 0.229368 0.003784
3187500 255000.000000 -0.885502 -0.022285 6392624522.334624 -6310158584.810690 0.228881 0.003780
3250000 260000.000000 -0.893095 -0.018841 6631333844.801998 -6538675586.732586 0.225116 0.003778
3312500 265000.000000 -0.893659 -0.015060 6938659581.221966 -6820043885.366007 0.225537 0.003842
3375000 270000.000000 -0.889991 -0.011817 7088685313.438852 -7050120582.533330 0.222469 0.003856
3437500 275000.000000 -0.891129 -0.008632 7197650051.052544 -7135007179.135260 0.225156 0.003856
