Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 -0.000500 -0.007597 0.018308 0.005299 0.018208 0.005217
125000 10000.000000 0.003693 -0.013083 0.027263 0.006115 0.027199 0.005855
187500 15000.000000 0.002274 -0.017716 0.042288 0.006629 0.041980 0.006174
250000 20000.000000 0.000190 -0.021041 0.041141 0.006948 0.040688 0.006326
312500 25000.000000 -0.001747 -0.023755 0.036508 0.007260 0.036114 0.006503
375000 30000.000000 -0.006226 -0.025818 0.038697 0.007585 0.037978 0.006734
437500 35000.000000 -0.008542 -0.027326 0.038295 0.007913 0.037496 0.006982
500000 40000.000000 -0.011699 -0.028530 0.042617 0.008203 0.041506 0.007201
562500 45000.000000 -0.014706 -0.029443 0.046971 0.008424 0.045566 0.007361
625000 50000.000000 -0.017649 -0.030100 0.040454 0.008609 0.039206 0.007493
687500 55000.000000 -0.012510 -0.030919 0.037251 0.008964 0.036401 0.007788
750000 60000.000000 -0.015409 -0.031676 0.034538 0.009279 0.033728 0.008054
812500 65000.000000 -0.013359 -0.032108 0.035848 0.009549 0.035038 0.008283
875000 70000.000000 -0.010955 -0.033140 0.030323 0.010011 0.029920 0.008667
937500 75000.000000 0.000690 -0.034617 0.034190 0.010397 0.034218 0.008958
1000000 80000.000000 0.015998 -0.036976 0.043779 0.010863 0.044359 0.009286
1062500 85000.000000 0.017734 -0.039887 0.050439 0.011149 0.050732 0.009383
1125000 90000.000000 0.016305 -0.042569 0.056119 0.011370 0.056171 0.009421
1187500 95000.000000 0.010490 -0.044589 0.057470 0.011660 0.056968 0.009576
1250000 100000.000000 0.004427 -0.045987 0.057666 0.011899 0.056670 0.009712
1312500 105000.000000 -0.004632 -0.046923 0.061042 0.012038 0.059234 0.009781
1375000 110000.000000 -0.013465 -0.047385 0.056960 0.012165 0.054729 0.009860
1437500 115000.000000 -0.016796 -0.047712 0.070302 0.012334 0.067146 0.009989
1500000 120000.000000 -0.020225 -0.047886 0.070183 0.012428 0.066867 0.010046
1562500 125000.000000 -0.026051 -0.048004 0.055964 0.012523 0.053118 0.010111
1625000 130000.000000 -0.023340 -0.048143 0.046782 0.012697 0.044935 0.010250
1687500 135000.000000 -0.029029 -0.048293 0.046679 0.012887 0.044244 0.010403
1750000 140000.000000 -0.039100 -0.048437 0.046672 0.012968 0.043693 0.010458
1812500 145000.000000 -0.044141 -0.048585 0.038970 0.013240 0.036423 0.010686
1875000 150000.000000 -0.056870 -0.048680 0.039513 0.013440 0.036306 0.010848
1937500 155000.000000 -0.067422 -0.048679 0.037747 0.013685 0.033946 0.011050
2000000 160000.000000 -0.091742 -0.048649 0.046701 0.013897 0.040349 0.011222
2062500 165000.000000 -0.103305 -0.048681 0.046752 0.014083 0.039934 0.011361
2125000 170000.000000 -0.110827 -0.048690 0.061167 0.014244 0.051642 0.011473
2187500 175000.000000 -0.115758 -0.048668 0.053281 0.014363 0.044807 0.011553
2250000 180000.000000 -0.120675 -0.048717 0.058517 0.014582 0.048891 0.011714
2312500 185000.000000 -0.123137 -0.048745 0.041701 0.014830 0.034719 0.011899
2375000 190000.000000 -0.123622 -0.048735 0.058197 0.015045 0.048696 0.012055
2437500 195000.000000 -0.108071 -0.048773 0.060065 0.015231 0.051608 0.012184
2500000 200000.000000 -0.094804 -0.048776 0.063300 0.015362 0.054973 0.012268
2562500 205000.000000 -0.098693 -0.048738 0.070133 0.015503 0.060447 0.012366
2625000 210000.000000 -0.100539 -0.048735 0.060921 0.015606 0.052516 0.012430
2687500 215000.000000 -0.105222 -0.048772 0.069709 0.015702 0.059514 0.012485
2750000 220000.000000 -0.112469 -0.048719 0.069807 0.015799 0.058705 0.012544
2812500 225000.000000 -0.119714 -0.048715 0.068828 0.016017 0.057576 0.012700
2875000 230000.000000 -0.126175 -0.048643 0.062614 0.016182 0.052004 0.012819
2937500 235000.000000 -0.127439 -0.048663 0.053595 0.016304 0.044561 0.012895
3000000 240000.000000 -0.125056 -0.048694 0.061369 0.016444 0.051488 0.012986
3062500 245000.000000 -0.110922 -0.048643 0.069992 0.016597 0.060011 0.013091
3125000 250000.000000 -0.096056 -0.048612 0.058721 0.016637 0.051675 0.013104
3187500 255000.000000 -0.082074 -0.048635 0.054985 0.016810 0.049422 0.013227
3250000 260000.000000 -0.074603 -0.048610 0.044985 0.017047 0.041165 0.013417
3312500 265000.000000 -0.064645 -0.048649 0.041605 0.017283 0.038647 0.013606
3375000 270000.000000 -0.060815 -0.048641 0.039751 0.017525 0.037080 0.013806
3437500 275000.000000 -0.060058 -0.048667 0.030675 0.017789 0.029005 0.014027
3500000 280000.000000 -0.065534 -0.048647 0.042986 0.018119 0.039800 0.014306
3562500 285000.000000 -0.052587 -0.048641 0.042455 0.018316 0.040196 0.014465
3625000 290000.000000 -0.042874 -0.048701 0.039335 0.018456 0.037989 0.014571
3687500 295000.000000 -0.040737 -0.048791 0.040253 0.018629 0.039085 0.014705
3750000 300000.000000 -0.024680 -0.048873 0.043094 0.018752 0.042786 0.014798
3812500 305000.000000 -0.011724 -0.048980 0.043445 0.018829 0.043631 0.014849
3875000 310000.000000 -0.008882 -0.049298 0.033698 0.018984 0.034643 0.014965
3937500 315000.000000 -0.004777 -0.049494 0.033425 0.019231 0.034670 0.015176
4000000 320000.000000 -0.002210 -0.049664 0.034573 0.019398 0.035878 0.015314
