Timestep Time cumulativeSelectionP cumulativeTransmissionP cumulativeSelectionAltruism cumulativeTransmissionAltruism cumulativeSelectionProduct cumulativeTransmissionProduct
0 0.000000 0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000
62500 5000.000000 0.003393 -0.024032 0.036376 0.003496 0.036091 0.003025
125000 10000.000000 0.012034 -0.038360 0.048053 0.004552 0.047879 0.003307
187500 15000.000000 0.008205 -0.049449 0.049234 0.005366 0.048756 0.003481
250000 20000.000000 0.006587 -0.057318 0.058010 0.005998 0.057072 0.003647
312500 25000.000000 0.009293 -0.063782 0.075613 0.006587 0.074173 0.003660
375000 30000.000000 0.006372 -0.069636 0.075078 0.007181 0.073644 0.003671
437500 35000.000000 0.015981 -0.075662 0.078729 0.007911 0.077944 0.003742
500000 40000.000000 0.021274 -0.082569 0.091679 0.008806 0.090753 0.003777
562500 45000.000000 0.023284 -0.088157 0.087182 0.009588 0.086463 0.003881
625000 50000.000000 0.015751 -0.093136 0.093064 0.010179 0.090873 0.003899
687500 55000.000000 0.011885 -0.097389 0.085731 0.010763 0.083634 0.003987
750000 60000.000000 0.013766 -0.101774 0.082420 0.011337 0.080826 0.004040
812500 65000.000000 0.010813 -0.106478 0.086350 0.011932 0.084586 0.004088
875000 70000.000000 0.017609 -0.110180 0.091619 0.012440 0.090165 0.004125
937500 75000.000000 0.018224 -0.113591 0.098818 0.012992 0.096797 0.004136
1000000 80000.000000 0.022343 -0.116838 0.089729 0.013587 0.089060 0.004211
1062500 85000.000000 0.022815 -0.120675 0.084232 0.014194 0.084290 0.004275
1125000 90000.000000 0.018961 -0.124061 0.084352 0.014677 0.083328 0.004271
1187500 95000.000000 0.013885 -0.127486 0.084203 0.015207 0.082398 0.004336
1250000 100000.000000 -0.002699 -0.130419 0.100066 0.015712 0.094354 0.004416
1312500 105000.000000 -0.001915 -0.132883 0.110594 0.016213 0.103966 0.004444
1375000 110000.000000 -0.004831 -0.134964 0.103110 0.016635 0.097029 0.004451
1437500 115000.000000 -0.012110 -0.136835 0.109617 0.017082 0.102184 0.004497
1500000 120000.000000 -0.016984 -0.138849 0.126353 0.017544 0.115081 0.004521
1562500 125000.000000 -0.026837 -0.140358 0.119794 0.018049 0.107856 0.004609
1625000 130000.000000 -0.033098 -0.141736 0.117417 0.018422 0.105270 0.004619
1687500 135000.000000 -0.041395 -0.142806 0.105156 0.018765 0.094188 0.004625
1750000 140000.000000 -0.069912 -0.143585 0.112539 0.019162 0.096066 0.004679
1812500 145000.000000 -0.097354 -0.143975 0.116273 0.019573 0.095632 0.004720
1875000 150000.000000 -0.109991 -0.144302 0.102389 0.020008 0.084133 0.004787
1937500 155000.000000 -0.131426 -0.144444 0.108714 0.020435 0.085128 0.004861
